user_input,expected_response,category,supermarket,context,currency,measurement_system,date_format,storage_type,predicted_intent
"What can I make with tesco chicken breast, potatoes, carrots?","Since you're shopping at Tesco, their fresh produce is excellent for this dish!",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for tesco chicken breast, potatoes, carrots?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with tesco chicken breast, potatoes, carrots?","For a quick meal with tesco chicken breast, potatoes, carrots, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with sainsburys salmon, rice, broccoli?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for sainsburys salmon, rice, broccoli?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with sainsburys salmon, rice, broccoli?","For a quick meal with sainsburys salmon, rice, broccoli, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with morrisons mince, onions, pasta?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for morrisons mince, onions, pasta?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with morrisons mince, onions, pasta?","For a quick meal with morrisons mince, onions, pasta, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with asda vegetables, quinoa, olive oil?","Since you're shopping at Asda, their fresh produce is excellent for this dish!",recipe_suggestion,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for asda vegetables, quinoa, olive oil?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with asda vegetables, quinoa, olive oil?","For a quick meal with asda vegetables, quinoa, olive oil, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with tesco eggs, milk, flour, cheese?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for tesco eggs, milk, flour, cheese?","Great combination! Try making a stir-fry - cook the protein first, then add vegetables and finish with a simple sauce of soy sauce, garlic, and ginger.",recipe_suggestion,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with tesco eggs, milk, flour, cheese?","For a quick meal with tesco eggs, milk, flour, cheese, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
"What can I make with sainsburys beef, yorkshire pudding mix, vegetables?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Recipe ideas for sainsburys beef, yorkshire pudding mix, vegetables?","Perfect for a quick dinner! Sauté the protein first, then add vegetables and cook until tender. Season with salt, pepper, and your favorite herbs.",recipe_suggestion,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,recipe_suggestion
"Quick meal with sainsburys beef, yorkshire pudding mix, vegetables?","For a quick meal with sainsburys beef, yorkshire pudding mix, vegetables, try a 15-minute stir-fry or one-pan dish. Cook everything together with simple seasonings for maximum flavor and minimal time!",quick_meal,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
What's the nutritional value of Chicken Breast?,"Chicken Breast per 100g: 165 calories, 31g protein, 3.6g fat, 0g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Chicken Breast?,Chicken Breast contains 165 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Chicken Breast?,Chicken Breast has 31g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Salmon?,"Salmon per 100g: 208 calories, 25g protein, 12g fat, 0g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Salmon?,Salmon contains 208 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Salmon?,Salmon has 25g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Whole Milk?,"Whole Milk per 100g: 61 calories, 3.2g protein, 3.3g fat, 4.7g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Whole Milk?,Whole Milk contains 61 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Whole Milk?,Whole Milk has 3.2g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Banana?,"Banana per 100g: 89 calories, 1.1g protein, 0.3g fat, 23g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Banana?,Banana contains 89 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Banana?,Banana has 1.1g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Brown Rice?,"Brown Rice per 100g: 111 calories, 2.6g protein, 0.9g fat, 23g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Brown Rice?,Brown Rice contains 111 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Brown Rice?,Brown Rice has 2.6g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
What's the nutritional value of Eggs?,"Eggs per 100g: 155 calories, 13g protein, 11g fat, 1.1g carbs. It's a great source of protein and nutrients!",nutrition_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
How many calories in Eggs?,Eggs contains 155 calories per 100g.,calorie_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Protein content in Eggs?,Eggs has 13g of protein per 100g.,protein_info,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,nutrition_info
Best deals at Tesco?,"Tesco typically offers good value, especially with their Tesco Value range. Check their weekly deals on fresh produce and meat. Their loyalty scheme (Clubcard) can save you money on regular purchases.",shopping_deals,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Tesco vs other supermarkets?,"Tesco is known for good quality at mid-range prices. Compared to other major UK supermarkets, they offer good value, especially with their Tesco Value range.",supermarket_comparison,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,shopping_advice
What's good at Tesco?,"At Tesco, I recommend trying their Tesco Finest range for premium quality, or Tesco Value for great value. Their Tesco Whole Milk is particularly good quality.",supermarket_recommendations,tesco,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Best deals at Sainsburys?,"Sainsburys typically offers good value, especially with their Sainsbury's Basics range. Check their weekly deals on fresh produce and meat. Their loyalty scheme (Nectar) can save you money on regular purchases.",shopping_deals,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Sainsburys vs other supermarkets?,"Sainsburys is known for high quality at premium prices. Compared to other major UK supermarkets, they offer good value, especially with their Sainsbury's Basics range.",supermarket_comparison,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,shopping_advice
What's good at Sainsburys?,"At Sainsburys, I recommend trying their Sainsbury's Taste the Difference range for premium quality, or Sainsbury's Basics for great value. Their Sainsbury's Salmon is particularly good quality.",supermarket_recommendations,sainsburys,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Best deals at Asda?,"Asda typically offers good value, especially with their Asda Smart Price range. Check their weekly deals on fresh produce and meat. Their loyalty scheme (Asda Rewards) can save you money on regular purchases.",shopping_deals,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Asda vs other supermarkets?,"Asda is known for good quality at budget prices. Compared to other major UK supermarkets, they offer good value, especially with their Asda Smart Price range.",supermarket_comparison,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,shopping_advice
What's good at Asda?,"At Asda, I recommend trying their Asda Extra Special range for premium quality, or Asda Smart Price for great value. Their Asda Milk is particularly good quality.",supermarket_recommendations,asda,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Best deals at Morrisons?,"Morrisons typically offers good value, especially with their Morrisons Savers range. Check their weekly deals on fresh produce and meat. Their loyalty scheme (Morrisons More) can save you money on regular purchases.",shopping_deals,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Morrisons vs other supermarkets?,"Morrisons is known for good quality at mid-range prices. Compared to other major UK supermarkets, they offer good value, especially with their Morrisons Savers range.",supermarket_comparison,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,shopping_advice
What's good at Morrisons?,"At Morrisons, I recommend trying their Morrisons The Best range for premium quality, or Morrisons Savers for great value. Their Morrisons Beef is particularly good quality.",supermarket_recommendations,morrisons,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Best deals at Aldi?,"Aldi typically offers good value, especially with their Aldi Everyday Essentials range. Check their weekly deals on fresh produce and meat. Their loyalty scheme (None) can save you money on regular purchases.",shopping_deals,aldi,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Aldi vs other supermarkets?,"Aldi is known for good quality at budget prices. Compared to other major UK supermarkets, they offer good value, especially with their Aldi Everyday Essentials range.",supermarket_comparison,aldi,uk_food_assistant,GBP,metric,DD/MM/YYYY,,shopping_advice
What's good at Aldi?,"At Aldi, I recommend trying their Aldi Specially Selected range for premium quality, or Aldi Everyday Essentials for great value. Their Aldi Wine is particularly good quality.",supermarket_recommendations,aldi,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Best deals at Lidl?,"Lidl typically offers good value, especially with their Lidl Essentials range. Check their weekly deals on fresh produce and meat. Their loyalty scheme (Lidl Plus) can save you money on regular purchases.",shopping_deals,lidl,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
Lidl vs other supermarkets?,"Lidl is known for good quality at budget prices. Compared to other major UK supermarkets, they offer good value, especially with their Lidl Essentials range.",supermarket_comparison,lidl,uk_food_assistant,GBP,metric,DD/MM/YYYY,,shopping_advice
What's good at Lidl?,"At Lidl, I recommend trying their Lidl Deluxe range for premium quality, or Lidl Essentials for great value. Their Lidl Bakery is particularly good quality.",supermarket_recommendations,lidl,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
How to store refrigerated foods?,"For Refrigerated storage: maintain temperature at 2-4°C. Suitable foods include dairy, meat, fish and more. Generally lasts 1-7 days depending on food type.",storage_advice,,uk_food_assistant,GBP,metric,DD/MM/YYYY,refrigerated,shopping_advice
What foods go in the refrigerated?,"Foods for Refrigerated include: dairy, meat, fish, leftovers, prepared_foods. Store at 2-4°C for 1-7 days depending on food type.",storage_categories,,uk_food_assistant,GBP,metric,DD/MM/YYYY,refrigerated,general_advice
How to store frozen foods?,"For Frozen storage: maintain temperature at -18°C or below. Suitable foods include meat, fish, vegetables and more. Generally lasts 3-12 months depending on food type.",storage_advice,,uk_food_assistant,GBP,metric,DD/MM/YYYY,frozen,shopping_advice
What foods go in the frozen?,"Foods for Frozen include: meat, fish, vegetables, bread, leftovers. Store at -18°C or below for 3-12 months depending on food type.",storage_categories,,uk_food_assistant,GBP,metric,DD/MM/YYYY,frozen,general_advice
How to store pantry foods?,"For Pantry storage: maintain temperature at room temperature (15-25°C). Suitable foods include canned_goods, grains, pasta and more. Generally lasts months to years.",storage_advice,,uk_food_assistant,GBP,metric,DD/MM/YYYY,pantry,shopping_advice
What foods go in the pantry?,"Foods for Pantry include: canned_goods, grains, pasta, cereals, oils. Store at room temperature (15-25°C) for months to years.",storage_categories,,uk_food_assistant,GBP,metric,DD/MM/YYYY,pantry,general_advice
What's in season in spring?,"In spring, look for: asparagus, rhubarb, spring onions, new potatoes, lamb. These are at their best quality and often better value.",seasonal_foods,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,seasonal_advice
Best spring vegetables?,"Top spring vegetables include: spring onions, new potatoes.",seasonal_vegetables,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
What's in season in summer?,"In summer, look for: strawberries, cherries, peaches, raspberries, cucumber. These are at their best quality and often better value.",seasonal_foods,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,seasonal_advice
Best summer vegetables?,Top summer vegetables include: .,seasonal_vegetables,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
What's in season in autumn?,"In autumn, look for: apples, pears, blackberries, squash, mushrooms. These are at their best quality and often better value.",seasonal_foods,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,seasonal_advice
Best autumn vegetables?,Top autumn vegetables include: .,seasonal_vegetables,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
What's in season in winter?,"In winter, look for: brussels sprouts, parsnips, swede, kale, chestnuts. These are at their best quality and often better value.",seasonal_foods,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,seasonal_advice
Best winter vegetables?,"Top winter vegetables include: brussels sprouts, parsnips, swede.",seasonal_vegetables,,uk_food_assistant,GBP,metric,DD/MM/YYYY,,general_advice
